Item1,Item2,Result
Super Shroom Shake,Thunder Rage,Volt Shroom
Super Shroom Shake,Shooting Star,Meteor Meal
Super Shroom Shake,POW Block,Megaton Dinner
Super Shroom Shake,Block Block,Block Meal
Super Shroom Shake,Sleepy Sheep,Mistake
Super Shroom Shake,Gold Bar,Golden Meal
Super Shroom Shake,Gold Bar x3,Golden Meal
Super Shroom Shake,Shroom Shake,Roast Shroom Dish
Super Shroom Shake,Long-Last Shake,Roast Shroom Dish
Super Shroom Shake,Volt Shroom,Roast Shroom Dish
Life Shroom,Fire Burst,Emergency Ration
Life Shroom,Ice Storm,Space Food
Life Shroom,Thunder Rage,Volt Shroom
Life Shroom,Shooting Star,Meteor Meal
Life Shroom,POW Block,Megaton Dinner
Life Shroom,Block Block,Block Meal
Life Shroom,Sleepy Sheep,Mistake
Life Shroom,Gold Bar,Golden Meal
Life Shroom,Gold Bar x3,Golden Meal
Life Shroom,Shroom Shake,Roast Shroom Dish
Life Shroom,Long-Last Shake,Roast Shroom Dish
Life Shroom,Volt Shroom,Roast Shroom Dish
Life Shroom,Super Shroom Shake,Roast Shroom Dish
Ultra Shroom Shake,Fire Burst,Emergency Ration
Ultra Shroom Shake,Ice Storm,Space Food
Ultra Shroom Shake,Thunder Rage,Volt Shroom
Ultra Shroom Shake,Shooting Star,Meteor Meal
Ultra Shroom Shake,POW Block,Megaton Dinner
Ultra Shroom Shake,Block Block,Block Meal
Ultra Shroom Shake,Sleepy Sheep,Mistake
Ultra Shroom Shake,Gold Bar,Golden Meal
Ultra Shroom Shake,Gold Bar x3,Golden Meal
Ultra Shroom Shake,Shroom Shake,Shroom Steak
Ultra Shroom Shake,Long-Last Shake,Shroom Steak
Ultra Shroom Shake,Volt Shroom,Shroom Steak
Ultra Shroom Shake,Super Shroom Shake,Shroom Steak
Ultra Shroom Shake,Life Shroom,Shroom Steak
Slimy Shroom,Fire Burst,Emergency Ration
Slimy Shroom,Ice Storm,Space Food
Slimy Shroom,Thunder Rage,Volt Shroom
Slimy Shroom,Shooting Star,Meteor Meal
Slimy Shroom,POW Block,Megaton Dinner
Slimy Shroom,Block Block,Block Meal
Slimy Shroom,Sleepy Sheep,Mistake
Slimy Shroom,Gold Bar,Golden Meal
Slimy Shroom,Gold Bar x3,Golden Meal
Slimy Shroom,Shroom Shake,Fried Shroom Plate
Slimy Shroom,Long-Last Shake,Fried Shroom Plate
Slimy Shroom,Volt Shroom,Fried Shroom Plate
Slimy Shroom,Super Shroom Shake,Roast Shroom Dish
Slimy Shroom,Life Shroom,Roast Shroom Dish
Slimy Shroom,Ultra Shroom Shake,Shroom Steak
Ghost Shroom,Fire Burst,Dangerous Delight
Ghost Shroom,Ice Storm,Dangerous Delight
Ghost Shroom,Thunder Rage,Dangerous Delight
Ghost Shroom,Shooting Star,Dangerous Delight
Ghost Shroom,POW Block,Dangerous Delight
Ghost Shroom,Block Block,Dangerous Delight
Ghost Shroom,Courage Shell,Dangerous Delight
Ghost Shroom,Mighty Tonic,Dangerous Delight
Ghost Shroom,Shell Shock,Dangerous Delight
Ghost Shroom,Sleepy Sheep,Mistake
Ghost Shroom,Stop Watch,Dangerous Delight
Ghost Shroom,Catch Card,Dangerous Delight
Ghost Shroom,Catch Card SP,Dangerous Delight
Ghost Shroom,Star Medal,Dangerous Delight
Ghost Shroom,Gold Medal,Dangerous Delight
Ghost Shroom,HP Plus,Dangerous Delight
Ghost Shroom,Power Plus,Dangerous Delight
Ghost Shroom,Gold Bar,Dangerous Delight
Ghost Shroom,Gold Bar x3,Dangerous Delight
Ghost Shroom,Shroom Shake,Dangerous Delight
Ghost Shroom,Long-Last Shake,Dangerous Delight
Ghost Shroom,Volt Shroom,Dangerous Delight
Ghost Shroom,Super Shroom Shake,Dangerous Delight
Ghost Shroom,Life Shroom,Dangerous Delight
Ghost Shroom,Ultra Shroom Shake,Dangerous Delight
Ghost Shroom,Slimy Shroom,Dangerous Delight
Poison Shroom,Fire Burst,Dangerous Delight
Poison Shroom,Ice Storm,Dangerous Delight
Poison Shroom,Thunder Rage,Dangerous Delight
Poison Shroom,Shooting Star,Dangerous Delight
Poison Shroom,POW Block,Dangerous Delight
Poison Shroom,Block Block,Dangerous Delight
Poison Shroom,Courage Shell,Dangerous Delight
Poison Shroom,Mighty Tonic,Dangerous Delight
Poison Shroom,Shell Shock,Dangerous Delight
Poison Shroom,Sleepy Sheep,Mistake
Poison Shroom,Stop Watch,Dangerous Delight
Poison Shroom,Catch Card,Dangerous Delight
Poison Shroom,Catch Card SP,Dangerous Delight
Poison Shroom,Star Medal,Dangerous Delight
Poison Shroom,Gold Medal,Dangerous Delight
Poison Shroom,HP Plus,Dangerous Delight
Poison Shroom,Power Plus,Dangerous Delight
Poison Shroom,Gold Bar,Dangerous Delight
Poison Shroom,Gold Bar x3,Dangerous Delight
Poison Shroom,Shroom Shake,Dangerous Delight
Poison Shroom,Long-Last Shake,Dangerous Delight
Poison Shroom,Volt Shroom,Dangerous Delight
Poison Shroom,Super Shroom Shake,Dangerous Delight
Poison Shroom,Life Shroom,Dangerous Delight
Poison Shroom,Ultra Shroom Shake,Dangerous Delight
Poison Shroom,Slimy Shroom,Dangerous Delight
Poison Shroom,Ghost Shroom,Dangerous Delight
Dried Shroom,Sleepy Sheep,Mistake
Dried Shroom,Ghost Shroom,Dangerous Delight
Dried Shroom,Poison Shroom,Dangerous Delight
Cake Mix,Fire Burst,Emergency Ration
Cake Mix,Ice Storm,Space Food
Cake Mix,Thunder Rage,Electro Pop
Cake Mix,Sleepy Sheep,Mistake
Cake Mix,Shroom Shake,Mushroom Crepe
Cake Mix,Long-Last Shake,Mushroom Crepe
Cake Mix,Volt Shroom,Mushroom Crepe
Cake Mix,Super Shroom Shake,Shroom Cake
Cake Mix,Life Shroom,Shroom Cake
Cake Mix,Ultra Shroom Shake,Shroom Cake
Cake Mix,Slimy Shroom,Mushroom Crepe
Cake Mix,Ghost Shroom,Dangerous Delight
Cake Mix,Poison Shroom,Dangerous Delight
Big Egg,Fire Burst,Egg Bomb
Big Egg,Ice Storm,Space Food
Big Egg,Thunder Rage,Egg Bomb
Big Egg,Shooting Star,Meteor Meal
Big Egg,POW Block,Egg Bomb
Big Egg,Block Block,Block Meal
Big Egg,Sleepy Sheep,Mistake
Big Egg,Gold Bar,Golden Meal
Big Egg,Gold Bar x3,Golden Meal
Big Egg,Shroom Shake,Shroom Pudding
Big Egg,Long-Last Shake,Shroom Pudding
Big Egg,Volt Shroom,Shroom Pudding
Big Egg,Super Shroom Shake,Shroom Pudding
Big Egg,Life Shroom,Shroom Pudding
Big Egg,Ultra Shroom Shake,Shroom Pudding
Big Egg,Slimy Shroom,Shroom Pudding
Big Egg,Ghost Shroom,Dangerous Delight
Big Egg,Poison Shroom,Love Pudding
Big Egg,Cake Mix,Mousse
Fresh Pasta Bunch,Fire Burst,Emergency Ration
Fresh Pasta Bunch,Ice Storm,Space Food
Fresh Pasta Bunch,Shooting Star,Meteor Meal
Fresh Pasta Bunch,POW Block,Megaton Dinner
Fresh Pasta Bunch,Block Block,Block Meal
Fresh Pasta Bunch,Sleepy Sheep,Mistake
Fresh Pasta Bunch,Gold Bar,Golden Meal
Fresh Pasta Bunch,Gold Bar x3,Golden Meal
Fresh Pasta Bunch,Shroom Shake,Spaghetti Plate
Fresh Pasta Bunch,Long-Last Shake,Spaghetti Plate
Fresh Pasta Bunch,Volt Shroom,Spaghetti Plate
Fresh Pasta Bunch,Super Shroom Shake,Spaghetti Plate
Fresh Pasta Bunch,Life Shroom,Spaghetti Plate
Fresh Pasta Bunch,Ultra Shroom Shake,Spaghetti Plate
Fresh Pasta Bunch,Slimy Shroom,Spaghetti Plate
Fresh Pasta Bunch,Ghost Shroom,Dangerous Delight
Fresh Pasta Bunch,Poison Shroom,Dangerous Delight
Fresh Pasta Bunch,Cake Mix,Spaghetti Plate
Fresh Pasta Bunch,Big Egg,Spaghetti Plate
Power Steak,Fire Burst,Emergency Ration
Power Steak,Ice Storm,Space Food
Power Steak,Shooting Star,Meteor Meal
Power Steak,POW Block,Megaton Dinner
Power Steak,Block Block,Block Meal
Power Steak,Sleepy Sheep,Mistake
Power Steak,Gold Bar,Golden Meal
Power Steak,Gold Bar x3,Golden Meal
Power Steak,Shroom Shake,Hamburger
Power Steak,Long-Last Shake,Hamburger
Power Steak,Volt Shroom,Hamburger
Power Steak,Super Shroom Shake,Hamburger
Power Steak,Life Shroom,Hamburger
Power Steak,Ultra Shroom Shake,Hamburger
Power Steak,Slimy Shroom,Hamburger
Power Steak,Ghost Shroom,Dangerous Delight
Power Steak,Poison Shroom,Dangerous Delight
Power Steak,Cake Mix,Hot Dog
Power Steak,Big Egg,Hot Dog
Power Steak,Fresh Pasta Bunch,Meat Pasta Dish
Bone-In Cut,Fire Burst,Roast Meat
Bone-In Cut,Ice Storm,Space Food
Bone-In Cut,Shooting Star,Meteor Meal
Bone-In Cut,POW Block,Megaton Dinner
Bone-In Cut,Block Block,Block Meal
Bone-In Cut,Sleepy Sheep,Mistake
Bone-In Cut,Gold Bar,Golden Meal
Bone-In Cut,Gold Bar x3,Golden Meal
Bone-In Cut,Shroom Shake,Roast Meat
Bone-In Cut,Long-Last Shake,Roast Meat
Bone-In Cut,Volt Shroom,Roast Meat
Bone-In Cut,Super Shroom Shake,Roast Meat
Bone-In Cut,Life Shroom,Roast Meat
Bone-In Cut,Ultra Shroom Shake,Roast Meat
Bone-In Cut,Slimy Shroom,Roast Meat
Bone-In Cut,Ghost Shroom,Dangerous Delight
Bone-In Cut,Poison Shroom,Dangerous Delight
Bone-In Cut,Cake Mix,Hot Dog
Bone-In Cut,Big Egg,Hot Dog
Bone-In Cut,Fresh Pasta Bunch,Meat Pasta Dish
Bone-In Cut,Power Steak,Gorgeous Steak
Peachy Peach,Fire Burst,Emergency Ration
Peachy Peach,Ice Storm,Snow Cone
Peachy Peach,Thunder Rage,Electro Pop
Peachy Peach,Mighty Tonic,Peach Juice
Peachy Peach,Sleepy Sheep,Mistake
Peachy Peach,Shroom Shake,Fruity Shroom
Peachy Peach,Long-Last Shake,Gradual Syrup
Peachy Peach,Volt Shroom,Fruity Shroom
Peachy Peach,Super Shroom Shake,Fruity Shroom
Peachy Peach,Life Shroom,Fruity Shroom
Peachy Peach,Ultra Shroom Shake,Fruity Shroom
Peachy Peach,Slimy Shroom,Fruity Shroom
Peachy Peach,Ghost Shroom,Dangerous Delight
Peachy Peach,Poison Shroom,Dangerous Delight
Peachy Peach,Cake Mix,Peach Tart
Peachy Peach,Big Egg,Peach Tart
Peachy Peach,Fresh Pasta Bunch,Spaghetti Plate
Peachy Peach,Power Steak,Fruity Hamburger
Peachy Peach,Bone-In Cut,Fruity Hamburger
Keel Mango,Fire Burst,Emergency Ration
Keel Mango,Ice Storm,Snow Cone
Keel Mango,Thunder Rage,Electro Pop
Keel Mango,Mighty Tonic,Mango Juice
Keel Mango,Sleepy Sheep,Mistake
Keel Mango,Shroom Shake,Fruity Shroom
Keel Mango,Long-Last Shake,Gradual Syrup
Keel Mango,Volt Shroom,Fruity Shroom
Keel Mango,Super Shroom Shake,Fruity Shroom
Keel Mango,Life Shroom,Fruity Shroom
Keel Mango,Ultra Shroom Shake,Fruity Shroom
Keel Mango,Slimy Shroom,Fruity Shroom
Keel Mango,Ghost Shroom,Dangerous Delight
Keel Mango,Poison Shroom,Dangerous Delight
Keel Mango,Cake Mix,Mango Pudding
Keel Mango,Big Egg,Mango Pudding
Keel Mango,Fresh Pasta Bunch,Spaghetti Plate
Keel Mango,Power Steak,Fruity Hamburger
Keel Mango,Bone-In Cut,Fruity Hamburger
Keel Mango,Peachy Peach,Fruity Punch
Blue Apple,Fire Burst,Emergency Ration
Blue Apple,Ice Storm,Snow Cone
Blue Apple,Thunder Rage,Electro Pop
Blue Apple,Mighty Tonic,Fruity Punch
Blue Apple,Sleepy Sheep,Mistake
Blue Apple,Shroom Shake,Fruity Shroom
Blue Apple,Long-Last Shake,Gradual Syrup
Blue Apple,Volt Shroom,Fruity Shroom
Blue Apple,Super Shroom Shake,Fruity Shroom
Blue Apple,Life Shroom,Fruity Shroom
Blue Apple,Ultra Shroom Shake,Fruity Shroom
Blue Apple,Slimy Shroom,Fruity Shroom
Blue Apple,Ghost Shroom,Dangerous Delight
Blue Apple,Poison Shroom,Dangerous Delight
Blue Apple,Cake Mix,Fruity Cake
Blue Apple,Big Egg,Omelette Plate
Blue Apple,Fresh Pasta Bunch,Spaghetti Plate
Blue Apple,Power Steak,Fruity Hamburger
Blue Apple,Bone-In Cut,Fruity Hamburger
Blue Apple,Peachy Peach,Fruity Punch
Blue Apple,Keel Mango,Fruity Punch
Orange Apple,Fire Burst,Emergency Ration
Orange Apple,Ice Storm,Snow Cone
Orange Apple,Thunder Rage,Electro Pop
Orange Apple,Mighty Tonic,Fruity Punch
Orange Apple,Sleepy Sheep,Mistake
Orange Apple,Shroom Shake,Fruity Shroom
Orange Apple,Long-Last Shake,Gradual Syrup
Orange Apple,Volt Shroom,Fruity Shroom
Orange Apple,Super Shroom Shake,Fruity Shroom
Orange Apple,Life Shroom,Fruity Shroom
Orange Apple,Ultra Shroom Shake,Fruity Shroom
Orange Apple,Slimy Shroom,Fruity Shroom
Orange Apple,Ghost Shroom,Dangerous Delight
Orange Apple,Poison Shroom,Dangerous Delight
Orange Apple,Cake Mix,Fruity Cake
Orange Apple,Big Egg,Omelette Plate
Orange Apple,Fresh Pasta Bunch,Spaghetti Plate
Orange Apple,Power Steak,Fruity Hamburger
Orange Apple,Bone-In Cut,Fruity Hamburger
Orange Apple,Peachy Peach,Fruity Punch
Orange Apple,Keel Mango,Fruity Punch
Orange Apple,Blue Apple,Fruity Punch
Red Apple,Fire Burst,Emergency Ration
Red Apple,Ice Storm,Snow Cone
Red Apple,Thunder Rage,Electro Pop
Red Apple,Mighty Tonic,Fruity Punch
Red Apple,Sleepy Sheep,Mistake
Red Apple,Shroom Shake,Fruity Shroom
Red Apple,Long-Last Shake,Gradual Syrup
Red Apple,Volt Shroom,Fruity Shroom
Red Apple,Super Shroom Shake,Fruity Shroom
Red Apple,Life Shroom,Fruity Shroom
Red Apple,Ultra Shroom Shake,Fruity Shroom
Red Apple,Slimy Shroom,Fruity Shroom
Red Apple,Ghost Shroom,Dangerous Delight
Red Apple,Poison Shroom,Dangerous Delight
Red Apple,Cake Mix,Fruity Cake
Red Apple,Big Egg,Omelette Plate
Red Apple,Fresh Pasta Bunch,Spaghetti Plate
Red Apple,Power Steak,Fruity Hamburger
Red Apple,Bone-In Cut,Fruity Hamburger
Red Apple,Peachy Peach,Fruity Punch
Red Apple,Keel Mango,Fruity Punch
Red Apple,Blue Apple,Fruity Punch
Red Apple,Orange Apple,Fruity Punch
Pink Apple,Fire Burst,Emergency Ration
Pink Apple,Ice Storm,Snow Cone
Pink Apple,Thunder Rage,Electro Pop
Pink Apple,Mighty Tonic,Fruity Punch
Pink Apple,Sleepy Sheep,Mistake
Pink Apple,Shroom Shake,Fruity Shroom
Pink Apple,Long-Last Shake,Gradual Syrup
Pink Apple,Volt Shroom,Fruity Shroom
Pink Apple,Super Shroom Shake,Fruity Shroom
Pink Apple,Life Shroom,Fruity Shroom
Pink Apple,Ultra Shroom Shake,Fruity Shroom
Pink Apple,Slimy Shroom,Fruity Shroom
Pink Apple,Ghost Shroom,Dangerous Delight
Pink Apple,Poison Shroom,Dangerous Delight
Pink Apple,Cake Mix,Fruity Cake
Pink Apple,Big Egg,Omelette Plate
Pink Apple,Fresh Pasta Bunch,Spaghetti Plate
Pink Apple,Power Steak,Fruity Hamburger
Pink Apple,Bone-In Cut,Fruity Hamburger
Pink Apple,Peachy Peach,Fruity Punch
Pink Apple,Keel Mango,Fruity Punch
Pink Apple,Blue Apple,Fruity Punch
Pink Apple,Orange Apple,Fruity Punch
Pink Apple,Red Apple,Fruity Punch
Black Apple,Sleepy Sheep,Mistake
Black Apple,Ghost Shroom,Dangerous Delight
Black Apple,Poison Shroom,Dangerous Delight
Primordial Fruit,Fire Burst,Emergency Ration
Primordial Fruit,Ice Storm,Space Food
Primordial Fruit,Thunder Rage,Electro Pop
Primordial Fruit,Mighty Tonic,Fruity Punch
Primordial Fruit,Sleepy Sheep,Mistake
Primordial Fruit,Shroom Shake,Primordial Dinner
Primordial Fruit,Long-Last Shake,Gradual Syrup
Primordial Fruit,Volt Shroom,Primordial Dinner
Primordial Fruit,Super Shroom Shake,Primordial Dinner
Primordial Fruit,Life Shroom,Primordial Dinner
Primordial Fruit,Ultra Shroom Shake,Primordial Dinner
Primordial Fruit,Slimy Shroom,Primordial Dinner
Primordial Fruit,Ghost Shroom,Dangerous Delight
Primordial Fruit,Poison Shroom,Dangerous Delight
Primordial Fruit,Cake Mix,Town Special
Primordial Fruit,Big Egg,Town Special
Primordial Fruit,Fresh Pasta Bunch,Primordial Dinner
Primordial Fruit,Power Steak,Primordial Dinner
Primordial Fruit,Bone-In Cut,Primordial Dinner
Primordial Fruit,Peachy Peach,Fruity Punch
Primordial Fruit,Keel Mango,Fruity Punch
Primordial Fruit,Blue Apple,Fruity Punch
Primordial Fruit,Orange Apple,Fruity Punch
Primordial Fruit,Red Apple,Fruity Punch
Primordial Fruit,Pink Apple,Fruity Punch
Mild Cocoa Bean,Fire Burst,Lovely Chocolate
Mild Cocoa Bean,Ice Storm,Space Food
Mild Cocoa Bean,Thunder Rage,Electro Pop
Mild Cocoa Bean,Sleepy Sheep,Mistake
Mild Cocoa Bean,HP Plus,Lovely Chocolate
Mild Cocoa Bean,Shroom Shake,Shroom Choco-bar
Mild Cocoa Bean,Long-Last Shake,Shroom Choco-bar
Mild Cocoa Bean,Volt Shroom,Shroom Choco-bar
Mild Cocoa Bean,Super Shroom Shake,Shroom Choco-bar
Mild Cocoa Bean,Life Shroom,Shroom Choco-bar
Mild Cocoa Bean,Ultra Shroom Shake,Shroom Choco-bar
Mild Cocoa Bean,Slimy Shroom,Shroom Choco-bar
Mild Cocoa Bean,Ghost Shroom,Standard Chocolate
Mild Cocoa Bean,Poison Shroom,Standard Chocolate
Mild Cocoa Bean,Cake Mix,Chocolate Cake
Mild Cocoa Bean,Big Egg,Chocolate Cake
Mild Cocoa Bean,Fresh Pasta Bunch,Choco Pasta Dish
Mild Cocoa Bean,Power Steak,Golden Choco-bar
Mild Cocoa Bean,Bone-In Cut,Golden Choco-bar
Mild Cocoa Bean,Peachy Peach,Sweet Choco-bar
Mild Cocoa Bean,Keel Mango,Sweet Choco-bar
Mild Cocoa Bean,Blue Apple,Sweet Choco-bar
Mild Cocoa Bean,Orange Apple,Sweet Choco-bar
Mild Cocoa Bean,Red Apple,Sweet Choco-bar
Mild Cocoa Bean,Pink Apple,Sweet Choco-bar
Mild Cocoa Bean,Black Apple,Standard Chocolate
Mild Cocoa Bean,Primordial Fruit,Town Special
Honey Jar,Fire Burst,Emergency Ration
Honey Jar,Ice Storm,Space Food
Honey Jar,Thunder Rage,Electro Pop
Honey Jar,Sleepy Sheep,Mistake
Honey Jar,Shroom Shake,Honey Shroom
Honey Jar,Long-Last Shake,Gradual Syrup
Honey Jar,Volt Shroom,Honey Shroom
Honey Jar,Super Shroom Shake,Honey Super
Honey Jar,Life Shroom,Honey Super
Honey Jar,Ultra Shroom Shake,Honey Super
Honey Jar,Slimy Shroom,Honey Super
Honey Jar,Ghost Shroom,Dangerous Delight
Honey Jar,Poison Shroom,Dangerous Delight
Honey Jar,Cake Mix,Mousse
Honey Jar,Big Egg,Mousse
Honey Jar,Fresh Pasta Bunch,Spaghetti Plate
Honey Jar,Power Steak,Hamburger
Honey Jar,Bone-In Cut,Roast Meat
Honey Jar,Peachy Peach,Honey Candy
Honey Jar,Keel Mango,Honey Candy
Honey Jar,Blue Apple,Honey Candy
Honey Jar,Orange Apple,Honey Candy
Honey Jar,Red Apple,Honey Candy
Honey Jar,Pink Apple,Honey Candy
Honey Jar,Primordial Fruit,Town Special
Honey Jar,Mild Cocoa Bean,Sweet Choco-bar
Hot Sauce,Fire Burst,Emergency Ration
Hot Sauce,Ice Storm,Space Food
Hot Sauce,Sleepy Sheep,Mistake
Hot Sauce,Shroom Shake,Volcano Shroom
Hot Sauce,Long-Last Shake,Volcano Shroom
Hot Sauce,Volt Shroom,Volcano Shroom
Hot Sauce,Super Shroom Shake,Volcano Shroom
Hot Sauce,Life Shroom,Volcano Shroom
Hot Sauce,Ultra Shroom Shake,Volcano Shroom
Hot Sauce,Slimy Shroom,Volcano Shroom
Hot Sauce,Ghost Shroom,Dangerous Delight
Hot Sauce,Poison Shroom,Dangerous Delight
Hot Sauce,Cake Mix,Awesome Snack
Hot Sauce,Big Egg,Spicy Dinner
Hot Sauce,Fresh Pasta Bunch,Spicy Pasta Dish
Hot Sauce,Power Steak,Spicy Dinner
Hot Sauce,Bone-In Cut,Spicy Dinner
Hot Sauce,Peachy Peach,Spicy Dinner
Hot Sauce,Keel Mango,Spicy Dinner
Hot Sauce,Blue Apple,Spicy Dinner
Hot Sauce,Orange Apple,Spicy Dinner
Hot Sauce,Red Apple,Spicy Dinner
Hot Sauce,Pink Apple,Spicy Dinner
Hot Sauce,Primordial Fruit,Town Special
Hot Sauce,Mild Cocoa Bean,Spicy Dinner
Hot Sauce,Honey Jar,Spicy Dinner
Inky Sauce,Fire Burst,Emergency Ration
Inky Sauce,Ice Storm,Space Food
Inky Sauce,Sleepy Sheep,Mistake
Inky Sauce,Shroom Shake,Inky Soup
Inky Sauce,Long-Last Shake,Inky Soup
Inky Sauce,Volt Shroom,Inky Soup
Inky Sauce,Super Shroom Shake,Inky Soup
Inky Sauce,Life Shroom,Inky Soup
Inky Sauce,Ultra Shroom Shake,Inky Soup
Inky Sauce,Slimy Shroom,Inky Soup
Inky Sauce,Ghost Shroom,Dangerous Delight
Inky Sauce,Poison Shroom,Dangerous Delight
Inky Sauce,Cake Mix,Awesome Snack
Inky Sauce,Big Egg,Omelette Plate
Inky Sauce,Fresh Pasta Bunch,Ink Pasta Dish
Inky Sauce,Power Steak,Hamburger
Inky Sauce,Bone-In Cut,Roast Meat
Inky Sauce,Peachy Peach,Stamina Juice
Inky Sauce,Keel Mango,Stamina Juice
Inky Sauce,Blue Apple,Stamina Juice
Inky Sauce,Orange Apple,Stamina Juice
Inky Sauce,Red Apple,Stamina Juice
Inky Sauce,Pink Apple,Stamina Juice
Inky Sauce,Primordial Fruit,Town Special
Inky Sauce,Mild Cocoa Bean,Warm Cocoa
Inky Sauce,Honey Jar,Stamina Juice
Inky Sauce,Hot Sauce,Inky Soup
Dayzee Tear,Fire Burst,Emergency Ration
Dayzee Tear,Ice Storm,Space Food
Dayzee Tear,Sleepy Sheep,Mistake
Dayzee Tear,Shroom Shake,Shroom Delicacy
Dayzee Tear,Long-Last Shake,Shroom Delicacy
Dayzee Tear,Volt Shroom,Shroom Delicacy
Dayzee Tear,Super Shroom Shake,Shroom Delicacy
Dayzee Tear,Life Shroom,Shroom Delicacy
Dayzee Tear,Ultra Shroom Shake,Shroom Delicacy
Dayzee Tear,Slimy Shroom,Shroom Delicacy
Dayzee Tear,Ghost Shroom,Dangerous Delight
Dayzee Tear,Poison Shroom,Dangerous Delight
Dayzee Tear,Cake Mix,Awesome Snack
Dayzee Tear,Big Egg,Omelette Plate
Dayzee Tear,Fresh Pasta Bunch,Spaghetti Plate
Dayzee Tear,Power Steak,Hamburger
Dayzee Tear,Bone-In Cut,Roast Meat
Dayzee Tear,Peachy Peach,Dayzee Syrup
Dayzee Tear,Keel Mango,Dayzee Syrup
Dayzee Tear,Blue Apple,Dayzee Syrup
Dayzee Tear,Orange Apple,Dayzee Syrup
Dayzee Tear,Red Apple,Dayzee Syrup
Dayzee Tear,Pink Apple,Dayzee Syrup
Dayzee Tear,Primordial Fruit,Dayzee Syrup
Dayzee Tear,Mild Cocoa Bean,Dayzee Syrup
Dayzee Tear,Honey Jar,Dayzee Syrup
Dayzee Tear,Hot Sauce,Spicy Dinner
Dayzee Tear,Inky Sauce,Stamina Juice
